review_id,stars,date,title,text,source,product,version,vote_count
14076762941,5,2026-05-17,Much Improved,Really easy to see which trains and busses are coming up. This app has entirely replaced my usage of the Transit app. It is much easier to use than Transit also as it shows all the upcoming trains for a given direction.,app_store,MTA,4.9.0,0
14074684856,1,2026-05-17,Why am I not surprised….,"I swear…EVERYTIME they come out with an update of this app thinking they are making it better they always remove the important common sense features TO MAKE IT 100% WORSE! It’s like do these people have active brains or do they not ride the system?  WHY can’t we go to the individual stations that are in our FAVORITES to see the train arrival times? Why is it only limited to what’s nearby??????????????????? What is the point in us selecting favorite stations or bus stops if we can’t even access what we chose????? I want to use profanity so bad at you developers, my god.",app_store,MTA,4.9.0,0
14073505653,1,2026-05-16,ZERO STARS,"This update is awful, why can’t I see individual train lines?? I used to be able to search A and see the A train and pick a train line. Every time you all touch this this app you piss me off.",app_store,MTA,4.9.0,0
14073448415,1,2026-05-16,Ughh,"New update sucks app is unusable, but the MTA transportation in whole is terrible so I didn’t expect much . Fix this app please !!!",app_store,MTA,4.9.0,0
14072275384,5,2026-05-16,Happy with updates but I want widgets back!!,"I think the redesign is much better (also people complaining that they can’t see other lines are just wrong, you can see all the same information as before). But I want the widgets back—and improved. I want to see train or bus arrival times for the closest stations on my favorited lines.",app_store,MTA,4.9.0,2
14072107770,3,2026-05-16,Win some lose some,"The recent overhaul of the app made it much easier to navigate arrival times of trains and busses. Yay! Unfortunately they also made the trip planning tool much more difficult to use. It’s not very mobile friendly, requires more taps/clicks than before, and is harder to refer to the map to navigate during your journey. I hope they go back to the old layout for trip planning.",app_store,MTA,4.9.0,0
14071648917,3,2026-05-16,Bad Update,"The new update is terrible. It is still a useful app, but is much less intuitive. I prefer the previous version.",app_store,MTA,4.9.0,0
14071245829,2,2026-05-16,Baffling Rebuild,"What an atrocious and utterly unnecessary mangling of what was a very useful app. Cluttered, baffling, and crippled functionality. After a different ground-up rebuild, gosh, only a year or two ago, the old app had finally achieved greatness. Whatever presumed new functionality “necessitated” this rebuild (and I’m not seeing it), it wasn’t worth it. PLEASE just take the loss, admit you biffed it, and give us the old app back.",app_store,MTA,4.9.0,0
14071221580,4,2026-05-16,They got rid of widgets,Update- Thank you for bringing back widgets!!!!!!!  The widgets were the best thing about this app and I didn’t realize updating would remove them. Please bring them back. The new app itself is also very hard to navigate.,app_store,MTA,4.9.0,0
14068927732,1,2026-05-15,Need the old widget back,"Finally added the widget function backs that’s an “improvement” but they can’t be stacked up. Still, why downgrade it? The old version was great enough. Please make both of our lives easier by simply bringing back the old version. This one is still terrible to be honest. I am shocked that someone decided to upgrade the app like this and it got approved?",app_store,MTA,4.9.0,0
14068100387,1,2026-05-15,Not surprised!,"This app is trash and just as unreliable as the entire metric system, locating train schedules for specific stations is a nightmare next to impossible, I am all for any and everyone who manages to avoid paying the fare whenever possible. 🙌",app_store,MTA,4.9.0,0
