average_speed,borough,day_type,month,period,route_id,total_mileage,total_operating_time,trip_type
6.34,Brooklyn,1,2015-01-01T00:00:00.000,Off-Peak,B52,50716778.4,7999154.0,LCL/LTD
5.76,Brooklyn,1,2015-01-01T00:00:00.000,Peak,B52,24293426.4,4217318.0,LCL/LTD
7.17,Brooklyn,2,2015-01-01T00:00:00.000,Off-Peak,B52,21434752.8,2987902.0,LCL/LTD
6.81,Brooklyn,2,2015-01-01T00:00:00.000,Peak,B52,7627370.4,1119999.0,LCL/LTD
6.29,Brooklyn,1,2015-01-01T00:00:00.000,Off-Peak,B54,41290826.4,6565843.0,LCL/LTD
5.37,Brooklyn,1,2015-01-01T00:00:00.000,Peak,B54,19114185.6,3557529.0,LCL/LTD
7.61,Brooklyn,2,2015-01-01T00:00:00.000,Off-Peak,B54,16829596.8,2212368.0,LCL/LTD
7.17,Brooklyn,2,2015-01-01T00:00:00.000,Peak,B54,5908291.2,824165.0,LCL/LTD
7.36,Brooklyn,1,2015-01-01T00:00:00.000,Off-Peak,B57,39745778.4,5399083.0,LCL/LTD
6.42,Brooklyn,1,2015-01-01T00:00:00.000,Peak,B57,17278354.8,2690238.0,LCL/LTD
9.0,Brooklyn,2,2015-01-01T00:00:00.000,Off-Peak,B57,19662580.8,2184277.0,LCL/LTD
8.66,Brooklyn,2,2015-01-01T00:00:00.000,Peak,B57,8022096.0,926372.0,LCL/LTD
8.29,Brooklyn,1,2015-01-01T00:00:00.000,Off-Peak,B6,188932420.8,22799990,LCL/LTD
7.18,Brooklyn,1,2015-01-01T00:00:00.000,Peak,B6,80355762,11195882,LCL/LTD
8.52,Brooklyn,2,2015-01-01T00:00:00.000,Off-Peak,B6,84143350.8,9871040.0,LCL/LTD
8.16,Brooklyn,2,2015-01-01T00:00:00.000,Peak,B6,33657591.6,4126372.0,LCL/LTD
6.98,Brooklyn,1,2015-01-01T00:00:00.000,Off-Peak,B60,51468872.4,7373378.0,LCL/LTD
6.05,Brooklyn,1,2015-01-01T00:00:00.000,Peak,B60,24163675.2,3991782.0,LCL/LTD
8.03,Brooklyn,2,2015-01-01T00:00:00.000,Off-Peak,B60,26435984.4,3291183.0,LCL/LTD
7.65,Brooklyn,2,2015-01-01T00:00:00.000,Peak,B60,9185187.6,1200802.0,LCL/LTD
7.9,Brooklyn,1,2015-01-01T00:00:00.000,Off-Peak,B61,49775979.6,6299977.0,LCL/LTD
7.13,Brooklyn,1,2015-01-01T00:00:00.000,Peak,B61,22364348.4,3136031.0,LCL/LTD
8.77,Brooklyn,2,2015-01-01T00:00:00.000,Off-Peak,B61,22925322,2613429.0,LCL/LTD
8.39,Brooklyn,2,2015-01-01T00:00:00.000,Peak,B61,8237343.6,982066.0,LCL/LTD
7.96,Brooklyn,1,2015-01-01T00:00:00.000,Off-Peak,B62,53717140.8,6750037.0,LCL/LTD
7.0,Brooklyn,1,2015-01-01T00:00:00.000,Peak,B62,24206803.2,3456286.0,LCL/LTD
8.72,Brooklyn,2,2015-01-01T00:00:00.000,Off-Peak,B62,28550995.2,3274014.0,LCL/LTD
8.35,Brooklyn,2,2015-01-01T00:00:00.000,Peak,B62,10305388.8,1234082.0,LCL/LTD
5.83,Brooklyn,1,2015-01-01T00:00:00.000,Off-Peak,B63,50786942.4,8706048.0,LCL/LTD
5.29,Brooklyn,1,2015-01-01T00:00:00.000,Peak,B63,21132115.2,3991746.0,LCL/LTD
6.36,Brooklyn,2,2015-01-01T00:00:00.000,Off-Peak,B63,26918805.6,4232852.0,LCL/LTD
6.05,Brooklyn,2,2015-01-01T00:00:00.000,Peak,B63,9584431.2,1585065.0,LCL/LTD
8.61,Brooklyn,1,2015-01-01T00:00:00.000,Off-Peak,B64,37592272.8,4363901.0,LCL/LTD
7.69,Brooklyn,1,2015-01-01T00:00:00.000,Peak,B64,17424972,2264777.0,LCL/LTD
9.44,Brooklyn,2,2015-01-01T00:00:00.000,Off-Peak,B64,19178096.4,2032239.0,LCL/LTD
9.28,Brooklyn,2,2015-01-01T00:00:00.000,Peak,B64,7885288.8,850062.0,LCL/LTD
6.8,Brooklyn,1,2015-01-01T00:00:00.000,Off-Peak,B65,22013262,3236232.0,LCL/LTD
6.02,Brooklyn,1,2015-01-01T00:00:00.000,Peak,B65,11242371.6,1866351.0,LCL/LTD
7.72,Brooklyn,2,2015-01-01T00:00:00.000,Off-Peak,B65,9058399.2,1173764.0,LCL/LTD
7.46,Brooklyn,2,2015-01-01T00:00:00.000,Peak,B65,3344184.0,448178.0,LCL/LTD
7.22,Brooklyn,1,2015-01-01T00:00:00.000,Off-Peak,B67,23302684.8,3226387.0,LCL/LTD
6.47,Brooklyn,1,2015-01-01T00:00:00.000,Peak,B67,9744458.4,1505165.0,LCL/LTD
8.08,Brooklyn,2,2015-01-01T00:00:00.000,Off-Peak,B67,8208482.4,1015430.0,LCL/LTD
7.53,Brooklyn,2,2015-01-01T00:00:00.000,Peak,B67,3408616.8,452703.0,LCL/LTD
7.93,Brooklyn,1,2015-01-01T00:00:00.000,Off-Peak,B68,63872906.4,8058241.0,LCL/LTD
7.34,Brooklyn,1,2015-01-01T00:00:00.000,Peak,B68,27471999.6,3742377.0,LCL/LTD
8.68,Brooklyn,2,2015-01-01T00:00:00.000,Off-Peak,B68,32729097.6,3771024.0,LCL/LTD
8.23,Brooklyn,2,2015-01-01T00:00:00.000,Peak,B68,12785108.4,1554193.0,LCL/LTD
7.26,Brooklyn,1,2015-01-01T00:00:00.000,Off-Peak,B69,16678234.8,2298448.0,LCL/LTD
6.63,Brooklyn,1,2015-01-01T00:00:00.000,Peak,B69,9000518.4,1357321.0,LCL/LTD
8.66,Brooklyn,2,2015-01-01T00:00:00.000,Off-Peak,B69,7213593.6,833026.0,LCL/LTD
8.61,Brooklyn,2,2015-01-01T00:00:00.000,Peak,B69,3665394.0,425911.0,LCL/LTD
7.52,Brooklyn,1,2015-01-01T00:00:00.000,Off-Peak,B7,25692220.8,3416920.0,LCL/LTD
6.6,Brooklyn,1,2015-01-01T00:00:00.000,Peak,B7,13464450,2039476.0,LCL/LTD
8.79,Brooklyn,2,2015-01-01T00:00:00.000,Off-Peak,B7,11372475.6,1293096.0,LCL/LTD
8.04,Brooklyn,2,2015-01-01T00:00:00.000,Peak,B7,5381168.4,669586.0,LCL/LTD
7.17,Brooklyn,1,2015-01-01T00:00:00.000,Off-Peak,B70,20841865.2,2908082.0,LCL/LTD
